	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
48	80.06	104.70	3.64	15.94	63.30	17.12	-9.57	25.16	-14.30	-10.82	121.12	243.98	36.49
49	80.15	104.48	3.73	15.30	61.99	16.19	-9.73	23.32	-16.79	-23.71	123.77	250.84	34.54
50	80.24	104.24	3.89	14.66	60.63	15.23	-9.89	21.86	-19.60	-34.95	125.72	257.50	32.82
51	80.33	103.96	4.09	14.01	59.25	14.25	-10.04	20.76	-22.69	-44.27	126.90	263.91	31.42
52	80.42	103.64	4.34	13.35	57.83	13.23	-10.18	20.07	-26.03	-51.49	127.32	270.01	30.37
53	80.51	103.26	4.62	12.70	56.39	12.17	-10.33	19.82	-29.53	-56.62	126.98	275.74	29.64
54	80.60	102.82	4.92	12.04	54.91	11.09	-10.47	20.10	-33.06	-59.95	125.95	281.02	29.22
55	80.70	102.30	5.23	11.40	53.42	9.98	-10.61	20.99	-36.46	-61.86	124.30	285.79	29.05
56	80.81	101.69	5.54	10.77	51.90	8.84	-10.75	22.63	-39.48	-62.81	122.23	289.99	29.02
57	80.92	100.99	5.86	10.14	50.36	7.67	-10.89	25.12	-41.83	-63.23	119.99	293.57	29.03
58	81.04	100.18	6.18	9.53	48.81	6.47	-11.03	28.57	-43.17	-63.53	117.75	296.48	29.03
59	81.18	99.25	6.50	8.93	47.25	5.26	-11.17	33.02	-43.11	-64.07	115.55	298.67	28.99
60	81.33	98.20	6.83	8.35	45.69	4.03	-11.32	38.48	-41.28	-64.98	113.32	300.06	28.93
61	81.49	97.03	7.16	7.77	44.12	2.78	-11.46	44.94	-37.26	-66.10	110.88	300.59	28.88
62	81.67	95.72	7.50	7.21	42.56	1.53	-11.59	52.39	-30.62	-67.11	108.11	300.19	28.91
63	81.88	94.28	7.84	6.66	41.00	0.26	-11.73	60.82	-20.87	-67.72	104.88	298.85	29.09
64	82.11	92.70	8.18	6.13	39.46	-1.01	-11.88	70.23	-7.56	-67.87	101.11	296.59	29.48
65	82.36	90.97	8.53	5.63	37.94	-2.29	-12.02	80.64	9.71	-67.79	96.79	293.44	30.09
66	82.64	89.10	8.87	5.14	36.44	-3.56	-12.16	92.12	31.20	-67.98	92.02	289.49	30.91
67	82.96	87.07	9.22	4.69	34.96	-4.84	-12.31	104.71	57.01	-69.10	86.98	284.83	31.86
68	83.31	84.88	9.57	4.26	33.52	-6.11	-12.47	118.40	87.05	-71.70	81.86	279.59	32.86
69	83.71	82.52	9.95	3.85	32.11	-7.37	-12.63	133.16	121.02	-76.04	76.83	273.89	33.80
70	84.15	79.97	10.34	3.48	30.73	-8.62	-12.78	148.82	158.38	-81.85	72.06	267.87	34.60
71	84.64	77.23	10.78	3.12	29.39	-9.86	-12.95	165.14	198.39	-88.29	67.69	261.67	35.23
72	85.19	74.28	11.24	2.79	28.08	-11.08	-13.10	181.75	240.11	-94.13	63.78	255.45	35.74
73	85.80	71.14	11.73	2.48	26.80	-12.28	-13.26	198.16	282.39	-97.86	60.32	249.31	36.26
74	86.46	67.80	12.24	2.18	25.56	-13.46	-13.42	213.82	323.94	-97.90	57.22	243.40	37.04
75	87.18	64.28	12.73	1.90	24.35	-14.62	-13.58	228.16	363.40	-92.92	54.34	237.79	38.35
76	87.95	60.61	13.19	1.63	23.17	-15.77	-13.74	240.65	399.50	-81.94	51.58	232.54	40.44
77	88.75	56.80	13.58	1.38	22.02	-16.92	-13.91	250.96	431.10	-64.65	48.85	227.70	43.43
78	89.58	52.90	13.86	1.14	20.89	-18.05	-14.10	258.95	457.28	-41.50	46.17	223.25	47.28
79	90.42	48.93	14.02	0.91	19.79	-19.18	-14.30	264.68	477.34	-13.64	43.60	219.16	51.82
80	91.25	44.92	14.03	0.70	18.71	-20.30	-14.52	268.38	490.87	17.15	41.21	215.35	56.75
81	92.05	40.90	13.87	0.50	17.65	-21.42	-14.77	270.38	497.69	48.77	39.10	211.75	61.68
82	92.79	36.89	13.56	0.31	16.61	-22.53	-15.03	271.11	497.88	79.07	37.33	208.22	66.12
83	93.46	32.90	13.09	0.12	15.59	-23.63	-15.31	270.90	491.77	106.40	35.92	204.62	69.64
84	94.03	28.95	12.49	-0.06	14.59	-24.73	-15.61	269.85	480.00	129.74	34.81	200.77	72.08
85	94.50	25.05	11.77	-0.23	13.61	-25.82	-15.92	267.61	463.65	148.78	33.90	196.52	73.58
86	94.87	21.20	10.95	-0.40	12.66	-26.89	-16.23	263.37	444.11	163.44	33.03	191.70	74.45
87	95.13	17.42	10.05	-0.56	11.73	-27.94	-16.55	256.00	422.60	173.83	32.06	186.17	74.73
88	95.30	13.73	9.09	-0.72	10.84	-28.97	-16.88	244.25	399.55	180.45	30.84	179.85	74.02
89	95.41	10.18	8.09	-0.88	9.98	-29.96	-17.20	227.12	374.29	184.25	29.25	172.68	71.59
90	95.49	6.85	7.06	-1.02	9.16	-30.91	-17.50	204.55	345.32	186.21	27.16	164.66	66.62
