Max Velocities,Shooting Side,Shooting Side,Non-Shooting Side,Non-Shooting Side
MEEV,0.18,0.16,0.26,0.32
MHEV,0.17,0.21,0.19,0.17
MKEV,0.23,0.23,0.20,0.18
MSEV,0.44,0.37,0.27,0.39
MWEV,0.18,0.15,0.12,0.11
SP,0.27,0.25,0.27,0.25
Shot Time,0.51,0.89,0.51,0.89
